cell_type,action,energy,age,reward
2,1,35.958644976096714,7,0.0
2,3,48.344694106406585,7,0.0
2,3,43.27813121189838,4,0.0
2,1,96.3162257958818,2,0.0
1,1,69.14638692351724,9,-2.5
2,3,42.55864497609672,7,0.0
2,3,135.59226720757064,11,98.59002466884002
2,2,89.41821908706044,10,0.0
2,1,98.75068850698747,1,0.0
2,2,42.55864497609672,7,0.0
2,2,100.51622579588181,2,0.0
1,0,41.180025619406294,10,0.0
2,3,138.09672621767783,10,0.0
2,1,98.75068850698747,1,0.0
2,1,48.1984046667141,10,0.0
2,1,42.598492342821196,6,0.0
1,1,69.14638692351724,9,-2.5
2,3,38.918306763167536,10,0.0
2,2,38.24003415920838,10,0.0
1,3,44.758598408923795,4,0.0
2,3,42.59911795597232,7,0.0
2,1,46.08492006851392,9,0.0
1,1,69.14638692351724,9,-2.5
2,0,34.00224253873062,11,0.0
1,1,72.58099317925362,8,-2.5
2,0,42.23295629152818,9,0.0
2,3,42.52773980818313,8,0.0
2,3,40.47853244196244,9,0.0
2,3,36.98922689484134,11,0.0
2,2,44.98815805832976,6,0.0
1,1,58.85159404452533,12,-2.5
1,1,61.85159404452533,12,-2.5
1,1,81.76109355878351,9,-2.5
2,0,36.396321183669116,12,0.0
2,3,30.393271810970642,21,0.0
2,0,33.50783771172967,8,0.0
2,0,101.60872894175192,5,0.0
1,1,65.70828147524196,10,-2.5
1,3,83.64288773097834,9,0.0
2,0,38.23411280414687,10,0.0
1,1,24.604403531036166,9,-2.5
1,1,81.70828147524196,10,0.0
1,3,45.704675073474206,4,0.0
1,2,119.06189455172472,8,0.0
2,0,91.44591895331078,4,0.0
1,1,62.27555886702005,11,-2.5
2,3,34.707837711729674,8,0.0
2,3,36.812385408106024,9,0.0
2,1,99.16758717490761,6,0.0
2,0,37.67253804138156,9,0.0
2,3,36.472538041381554,9,0.0
2,1,41.17325034651152,12,0.0
2,3,33.351435274363574,12,0.0
1,2,65.29712024209785,10,0.0
2,1,104.45718364130447,9,0.0
2,3,42.03373420876402,6,0.0
1,1,72.565919331094,8,-2.5
2,3,140.0,1,103.71433159646752
2,0,46.196600756757746,7,0.0
2,1,37.69248331165258,9,0.0
2,2,95.64591895331078,4,0.0
1,2,95.41369340676901,22,0.0
1,2,111.83355507993053,7,0.0
2,0,93.86541853151476,3,0.0
1,3,58.58887830908588,22,0.0
1,1,69.14288773097834,9,-2.5
2,0,43.27910818092332,12,0.0
2,2,53.46313163259351,13,0.0
1,1,81.69152081491055,10,0.0
2,2,44.180977982800236,11,0.0
2,1,40.964467070104455,10,0.0
2,2,45.656047767702965,3,0.0
2,0,21.521757545034607,23,0.0
2,2,45.838263842685464,7,0.0
2,1,44.628111535334014,8,0.0
2,3,140.0,4,54.024282521982094
2,2,46.88145139988649,3,0.0
2,1,40.983062075883886,10,0.0
2,3,95.59692931009103,4,0.0
2,1,34.48294605293985,13,0.0
2,1,38.83934849030595,9,0.0
2,1,37.67919585703042,8,0.0
1,1,65.69152081491055,10,-2.5
2,1,39.74139623294686,11,0.0
1,1,65.69152081491055,10,-2.5
1,1,65.69152081491055,10,-2.5
2,1,45.904761125087795,13,0.0
2,2,52.165244987340294,7,0.0
2,3,36.959162910652296,12,0.0
2,1,33.30398644091966,14,0.0
1,1,63.956914559174166,11,-2.5
2,2,36.40092325307126,11,0.0
2,3,31.023994090228847,10,0.0
1,1,11.790553255063214,12,-2.5
1,1,65.69152081491055,10,-2.5
1,1,11.790553255063214,12,-2.5
2,3,40.623994090228855,10,0.0
1,1,83.6145524150262,9,0.0
2,0,38.18247668235733,10,0.0
2,1,40.62232404908181,9,0.0
2,2,45.508373179391675,8,0.0
2,2,34.50229110270368,13,0.0
2,1,44.78247668235734,10,0.0
2,0,31.186314554373862,14,0.0
2,0,35.68693670262659,13,0.0
2,0,49.701962918159005,7,0.0
2,3,98.74312819205139,1,0.0
2,1,36.382476682357336,10,0.0
1,1,58.381538094990795,13,-2.5
2,1,39.68702437873369,11,0.0
2,0,94.92055792393843,6,0.0
2,2,45.65882420264973,4,0.0
2,2,39.7614899382834,9,0.0
2,1,43.73030771304043,6,0.0
2,1,45.82894406281383,7,0.0
2,3,46.72894406281383,7,0.0
2,0,79.7318226119321,11,0.0
1,1,62.24886695894908,11,-2.5
2,3,38.207595262155834,11,0.0
2,1,44.39917595975435,4,0.0
2,2,45.1685258126672,10,0.0
1,2,119.05734614403853,12,0.0
2,2,34.07782295486662,24,0.0
1,1,58.8142607032127,12,-2.5
2,2,96.27463897062765,2,0.0
1,1,69.10181646447127,9,-2.5
1,1,55.381538094990795,13,-2.5
2,2,44.230100575432516,12,0.0
1,1,58.8142607032127,12,-2.5
2,2,96.27463897062765,2,0.0
1,2,119.05734614403853,10,0.0
